best m,c is 1.780000,11.590000 with error 15.877152 in direction 0
best m,c is 1.780000,11.600000 with error 15.873147 in direction 0
best m,c is 1.780000,11.610000 with error 15.869148 in direction 0
best m,c is 1.780000,11.620000 with error 15.865154 in direction 0
best m,c is 1.780000,11.630000 with error 15.861165 in direction 0
best m,c is 1.780000,11.640000 with error 15.857181 in direction 0
best m,c is 1.780000,11.650000 with error 15.853203 in direction 0
best m,c is 1.780000,11.660000 with error 15.849230 in direction 0
best m,c is 1.780000,11.670000 with error 15.845262 in direction 0
best m,c is 1.780000,11.680000 with error 15.841300 in direction 0
best m,c is 1.780000,11.690000 with error 15.837343 in direction 0
best m,c is 1.780000,11.700000 with error 15.833391 in direction 0
best m,c is 1.780000,11.710000 with error 15.829445 in direction 0
best m,c is 1.780000,11.720000 with error 15.825504 in direction 0
best m,c is 1.780000,11.730000 with error 15.821568 in direction 0
best m,c is 1.780000,11.740000 with error 15.817638 in direction 0
best m,c is 1.780000,11.750000 with error 15.813713 in direction 0
best m,c is 1.780000,11.760000 with error 15.809793 in direction 0
best m,c is 1.780000,11.770000 with error 15.805879 in direction 0
best m,c is 1.780000,11.780000 with error 15.801970 in direction 0
best m,c is 1.780000,11.790000 with error 15.798066 in direction 0
best m,c is 1.780000,11.800000 with error 15.794168 in direction 0
best m,c is 1.780000,11.810000 with error 15.790275 in direction 0
best m,c is 1.780000,11.820000 with error 15.786388 in direction 0
best m,c is 1.780000,11.830000 with error 15.782506 in direction 0
best m,c is 1.780000,11.840000 with error 15.778629 in direction 0
best m,c is 1.780000,11.850000 with error 15.774758 in direction 0
best m,c is 1.780000,11.860000 with error 15.770892 in direction 0
best m,c is 1.780000,11.870000 with error 15.767031 in direction 0
best m,c is 1.780000,11.880000 with error 15.763176 in direction 0
best m,c is 1.780000,11.890000 with error 15.759326 in direction 0
best m,c is 1.780000,11.900000 with error 15.755482 in direction 0
best m,c is 1.780000,11.910000 with error 15.751643 in direction 0
best m,c is 1.780000,11.920000 with error 15.747810 in direction 0
best m,c is 1.780000,11.930000 with error 15.743982 in direction 0
best m,c is 1.780000,11.940000 with error 15.740159 in direction 0
best m,c is 1.780000,11.950000 with error 15.736342 in direction 0
best m,c is 1.780000,11.960000 with error 15.732530 in direction 0
best m,c is 1.780000,11.970000 with error 15.728724 in direction 0
best m,c is 1.780000,11.980000 with error 15.724923 in direction 0
best m,c is 1.780000,11.990000 with error 15.721127 in direction 0
best m,c is 1.780000,12.000000 with error 15.717337 in direction 0
best m,c is 1.780000,12.010000 with error 15.713553 in direction 0
best m,c is 1.780000,12.020000 with error 15.709773 in direction 0
best m,c is 1.780000,12.030000 with error 15.706000 in direction 0
best m,c is 1.780000,12.040000 with error 15.702232 in direction 0
best m,c is 1.780000,12.050000 with error 15.698469 in direction 0
best m,c is 1.780000,12.060000 with error 15.694712 in direction 0
best m,c is 1.780000,12.070000 with error 15.690960 in direction 0
best m,c is 1.780000,12.080000 with error 15.687213 in direction 0
best m,c is 1.780000,12.090000 with error 15.683473 in direction 0
best m,c is 1.780000,12.100000 with error 15.679737 in direction 0
best m,c is 1.780000,12.110000 with error 15.676007 in direction 0
best m,c is 1.780000,12.120000 with error 15.672283 in direction 0
best m,c is 1.780000,12.130000 with error 15.668564 in direction 0
best m,c is 1.770000,12.140000 with error 15.664792 in direction 7
best m,c is 1.770000,12.150000 with error 15.660761 in direction 0
best m,c is 1.770000,12.160000 with error 15.656735 in direction 0
best m,c is 1.770000,12.170000 with error 15.652714 in direction 0
best m,c is 1.770000,12.180000 with error 15.648699 in direction 0
best m,c is 1.770000,12.190000 with error 15.644689 in direction 0
best m,c is 1.770000,12.200000 with error 15.640685 in direction 0
best m,c is 1.770000,12.210000 with error 15.636686 in direction 0
best m,c is 1.770000,12.220000 with error 15.632692 in direction 0
best m,c is 1.770000,12.230000 with error 15.628704 in direction 0
best m,c is 1.770000,12.240000 with error 15.624721 in direction 0
best m,c is 1.770000,12.250000 with error 15.620744 in direction 0
best m,c is 1.770000,12.260000 with error 15.616771 in direction 0
best m,c is 1.770000,12.270000 with error 15.612805 in direction 0
best m,c is 1.770000,12.280000 with error 15.608843 in direction 0
best m,c is 1.770000,12.290000 with error 15.604887 in direction 0
best m,c is 1.770000,12.300000 with error 15.600937 in direction 0
best m,c is 1.770000,12.310000 with error 15.596992 in direction 0
best m,c is 1.770000,12.320000 with error 15.593052 in direction 0
best m,c is 1.770000,12.330000 with error 15.589118 in direction 0
best m,c is 1.770000,12.340000 with error 15.585189 in direction 0
best m,c is 1.770000,12.350000 with error 15.581265 in direction 0
best m,c is 1.770000,12.360000 with error 15.577347 in direction 0
best m,c is 1.770000,12.370000 with error 15.573435 in direction 0
best m,c is 1.770000,12.380000 with error 15.569528 in direction 0
best m,c is 1.770000,12.390000 with error 15.565626 in direction 0
best m,c is 1.770000,12.400000 with error 15.561730 in direction 0
best m,c is 1.770000,12.410000 with error 15.557839 in direction 0
best m,c is 1.770000,12.420000 with error 15.553954 in direction 0
best m,c is 1.770000,12.430000 with error 15.550074 in direction 0
best m,c is 1.770000,12.440000 with error 15.546199 in direction 0
best m,c is 1.770000,12.450000 with error 15.542331 in direction 0
best m,c is 1.770000,12.460000 with error 15.538467 in direction 0
best m,c is 1.770000,12.470000 with error 15.534609 in direction 0
best m,c is 1.770000,12.480000 with error 15.530757 in direction 0
best m,c is 1.770000,12.490000 with error 15.526910 in direction 0
best m,c is 1.770000,12.500000 with error 15.523068 in direction 0
best m,c is 1.770000,12.510000 with error 15.519232 in direction 0
best m,c is 1.770000,12.520000 with error 15.515401 in direction 0
best m,c is 1.770000,12.530000 with error 15.511576 in direction 0
best m,c is 1.770000,12.540000 with error 15.507757 in direction 0
best m,c is 1.770000,12.550000 with error 15.503943 in direction 0
best m,c is 1.770000,12.560000 with error 15.500134 in direction 0
best m,c is 1.770000,12.570000 with error 15.496331 in direction 0
best m,c is 1.770000,12.580000 with error 15.492534 in direction 0
best m,c is 1.770000,12.590000 with error 15.488742 in direction 0
best m,c is 1.770000,12.600000 with error 15.484956 in direction 0
best m,c is 1.770000,12.610000 with error 15.481175 in direction 0
best m,c is 1.770000,12.620000 with error 15.477399 in direction 0
best m,c is 1.770000,12.630000 with error 15.473629 in direction 0
best m,c is 1.770000,12.640000 with error 15.469865 in direction 0
best m,c is 1.770000,12.650000 with error 15.466107 in direction 0
best m,c is 1.770000,12.660000 with error 15.462353 in direction 0
best m,c is 1.770000,12.670000 with error 15.458606 in direction 0
best m,c is 1.770000,12.680000 with error 15.454864 in direction 0
best m,c is 1.770000,12.690000 with error 15.451127 in direction 0
best m,c is 1.770000,12.700000 with error 15.447396 in direction 0
best m,c is 1.770000,12.710000 with error 15.443671 in direction 0
best m,c is 1.770000,12.720000 with error 15.439951 in direction 0
best m,c is 1.770000,12.730000 with error 15.436237 in direction 0
best m,c is 1.770000,12.740000 with error 15.432529 in direction 0
best m,c is 1.770000,12.750000 with error 15.428826 in direction 0
best m,c is 1.770000,12.760000 with error 15.425128 in direction 0
best m,c is 1.770000,12.770000 with error 15.421436 in direction 0
best m,c is 1.770000,12.780000 with error 15.417750 in direction 0
best m,c is 1.770000,12.790000 with error 15.414070 in direction 0
best m,c is 1.770000,12.800000 with error 15.410395 in direction 0
best m,c is 1.760000,12.810000 with error 15.406714 in direction 7
best m,c is 1.760000,12.820000 with error 15.402722 in direction 0
best m,c is 1.760000,12.830000 with error 15.398735 in direction 0
best m,c is 1.760000,12.840000 with error 15.394753 in direction 0
best m,c is 1.760000,12.850000 with error 15.390777 in direction 0
best m,c is 1.760000,12.860000 with error 15.386807 in direction 0
best m,c is 1.760000,12.870000 with error 15.382841 in direction 0
best m,c is 1.760000,12.880000 with error 15.378882 in direction 0
best m,c is 1.760000,12.890000 with error 15.374928 in direction 0
best m,c is 1.760000,12.900000 with error 15.370979 in direction 0
best m,c is 1.760000,12.910000 with error 15.367036 in direction 0
best m,c is 1.760000,12.920000 with error 15.363098 in direction 0
best m,c is 1.760000,12.930000 with error 15.359166 in direction 0
best m,c is 1.760000,12.940000 with error 15.355239 in direction 0
best m,c is 1.760000,12.950000 with error 15.351318 in direction 0
best m,c is 1.760000,12.960000 with error 15.347402 in direction 0
best m,c is 1.760000,12.970000 with error 15.343492 in direction 0
best m,c is 1.760000,12.980000 with error 15.339588 in direction 0
best m,c is 1.760000,12.990000 with error 15.335688 in direction 0
best m,c is 1.760000,13.000000 with error 15.331795 in direction 0
best m,c is 1.760000,13.010000 with error 15.327907 in direction 0
best m,c is 1.760000,13.020000 with error 15.324024 in direction 0
best m,c is 1.760000,13.030000 with error 15.320147 in direction 0
best m,c is 1.760000,13.040000 with error 15.316276 in direction 0
best m,c is 1.760000,13.050000 with error 15.312410 in direction 0
best m,c is 1.760000,13.060000 with error 15.308550 in direction 0
best m,c is 1.760000,13.070000 with error 15.304695 in direction 0
best m,c is 1.760000,13.080000 with error 15.300846 in direction 0
best m,c is 1.760000,13.090000 with error 15.297002 in direction 0
best m,c is 1.760000,13.100000 with error 15.293164 in direction 0
best m,c is 1.760000,13.110000 with error 15.289332 in direction 0
best m,c is 1.760000,13.120000 with error 15.285505 in direction 0
best m,c is 1.760000,13.130000 with error 15.281684 in direction 0
best m,c is 1.760000,13.140000 with error 15.277868 in direction 0
best m,c is 1.760000,13.150000 with error 15.274058 in direction 0
best m,c is 1.760000,13.160000 with error 15.270253 in direction 0
best m,c is 1.760000,13.170000 with error 15.266454 in direction 0
best m,c is 1.760000,13.180000 with error 15.262661 in direction 0
